source,condition,url,fr0,fr1,fr2,fr3,fr4,fr5,fr6,fr7,fr2DET,fr3DET,fr4DET,fr6DET,fr7DET,Sentence,fr0ORI,fr1ORI,fr3ORI,fr4ORI,fr6ORI,fr7ORI,CEsnippet
MAYO,Jock itch,,NONE,,,,,,,,,,,,,"Although often uncomfortable and bothersome, jock itch usually isn't serious.",,,,,,,"Although often uncomfortable and bothersome, jock itch usually isn't serious."
MAYO,Jock itch,,NONE,,,,,,,,,,,,,Change your underwear at least once a day or more often if you sweat a lot,NONE,,,,,,Change your underwear at least once a day or more often if you sweat a lot
NHS,Joint hypermobility syndrome,,PERMANENT,,,,,,,,,,,,,There's no cure for joint hypermobility syndrome.,PERMANENT,,,,,,There's no cure for joint hypermobility syndrome.
MAYO,Juvenile fibromyalgia,,NONE,,,,,,,,,,,,,But doing it gradually and regularly often decreases symptoms.,,,,,,,But doing it gradually and regularly often decreases symptoms.
MAYO,Juvenile fibromyalgia,,NONE,,,,,,,,,,,,,Yoga and tai chi.,NONE,,,,,,Yoga and tai chi.
MAYO,Juvenile idiopathic arthritis,,NONE,,,,,,,,,,,,,But keeping a careful watch on your child's condition and seeking appropriate medical attention can greatly reduce the risk of these complications:,NONE,,,,,,But keeping a careful watch on your child's condition and seeking appropriate medical attention can greatly reduce the risk of these complications:
MAYO,Juvenile idiopathic arthritis,,NONE,,,,,,,,,,,,,Explain that the disease isn't caused by anything he or she did,NONE,,,,,,Explain that the disease isn't caused by anything he or she did
MAYO,Juvenile idiopathic arthritis,,NONE,,,,,,,,,,,,,"Take your child to the doctor if he or she has joint pain, swelling or stiffness for more than a week — especially if he or she also has a fever.",NONE,,,,,,"Take your child to the doctor if he or she has joint pain, swelling or stiffness for more than a week — especially if he or she also has a fever."
MAYO,Kaposi's sarcoma,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESSES SLOWY,,YEAR,,YEAR,"Known as classic Kaposi's sarcoma, this cancer progresses slowly and typically causes few serious problems.",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,"Known as classic Kaposi's sarcoma, this cancer progresses slowly and typically causes few serious problems"
NHS,Kawasaki disease,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,6,WEEK,8,WEEK,"Children can make a full recovery within 6 to 8 weeks if it's diagnosed and treated promptly, but complications can develop",IMPROVE,MODERATELY,42,DAY,56,DAY,can make a full recovery within 6 to 8 weeks if it's diagnosed and treated promptly
NHS,Kawasaki disease,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,AROUND,6,WEEK,6,WEEK,"Full recovery could take around 6 weeks, but may take longer in some children.",IMPROVE,MODERATELY,42,DAY,42,DAY,Full recovery could take around 6 weeks
NHS,Kawasaki disease,,NONE,,,,,,,,,,,,,Kawasaki disease can't be prevented,,,,,,,Kawasaki disease can't be prevented
NHS,Kawasaki disease,,NONE,,,,,,,,,,,,,Kawasaki disease is always treated in hospital.,,,,,,,Kawasaki disease is always treated in hospital.
NHS,Kawasaki disease,,NONE,,,,,,,,,,,,,Kawasaki disease is treated in hospital as it can cause serious complications,,,,,,,Kawasaki disease is treated in hospital as it can cause serious complications
MAYO,Kawasaki disease,,NONE,,,,,,,,,,,,,Kawasaki disease signs and symptoms usually appear in three phases.,,,,,,,Kawasaki disease signs and symptoms usually appear in three phases.
MAYO,Keratoconus,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESS SLOWLY,10,YEAR,10,YEAR,The condition may progress slowly for 10 years or longer,DECLINE,SLOWLY,3652.5,DAY,3652.5,DAY,The condition may progress slowly for 10 years or longer
MAYO,Keratoconus,,NONE,,,,,,,,,,,,,Around 1 in 10 people with keratoconus also have a parent with the condition.,,,,,,,Around 1 in 10 people with keratoconus also have a parent with the condition.
NHS,Keratosis pilaris,,NONE,,,,,,,,,,,,,"The skin can sometimes feel itchy, and may be better in summer and worse in winter.",,,,,,,"The skin can sometimes feel itchy, and may be better in summer and worse in winter."
NHS,Kidney cancer,,NONE,,,,,,,,,,,,,It can often be cured if it's found early,,,,,,,It can often be cured if it's found early
MAYO,Kidney cancer,,NONE,,,,,,,,,,,,,It's not clear what causes most kidney cancers.,,,,,,,It's not clear what causes most kidney cancers.
NHS,Kidney infection,https://www.nhs.uk/conditions/kidney-infection/,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,UP TO,2,WEEK,2,WEEK,"After taking antibiotics, you should feel completely better after about 2 weeks.",IMPROVE,FAST,14,DAY,14,DAY,you should feel completely better after about 2 weeks
NHS,Kidney infection,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,UP TO,2,WEEK,2,WEEK,It may take up to 2 weeks before you're fit enough to return to work,IMPROVE,FAST,14,DAY,14,DAY,It may take up to 2 weeks before you're fit enough
NHS,Kidney infection,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,ABOUT,2,WEEK,2,WEEK,"Usually, you'll start to feel better quite soon after treatment starts and should feel completely better after about 2 weeks.",IMPROVE,FAST,14,DAY,14,DAY,should feel completely better after about 2 weeks.
NHS,Kidney stones,,NONE,,,,,,,,,,,,,"2 pints) of fluid throughout the day, every day, until the stones have cleared",NONE,,,,,,"2 pints) of fluid throughout the day, every day, until the stones have cleared"
NHS,Kidney transplant,,NONE,,,,,,,,,,,,,"Because of the risk of further problems, people who have had a kidney transplant require regular check-ups for the rest of their life.",NONE,,,,,,"Because of the risk of further problems, people who have had a kidney transplant require regular check-ups for the rest of their life."
MAYO,Kleptomania,,NONE,,,,,,,,,,,,,Stay motivated by keeping your recovery goals in mind and reminding yourself that you can work to repair damaged relationships and financial and legal problems.,,,,,,,Stay motivated by keeping your recovery goals in mind and reminding yourself that you can work to repair damaged relationships and financial and legal problems.
MAYO,Klinefelter syndrome,,NONE,,,,,,,,,,,,,Delays in growth and development can be the first sign of a number of conditions that need treatment — including Klinefelter syndrome,NONE,,,,,,Delays in growth and development can be the first sign of a number of conditions that need treatment — including Klinefelter syndrome
MAYO,Knee bursitis,,NONE,,,,,,,,,,,,,This can help take pressure off your knee joint,NONE,,,,,,This can help take pressure off your knee joint
NHS,Knee ligament surgery,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,UP TO,3,MONTH,3,MONTH,"If you do any form of manual labour, it could be up to 3 months before you can return to work, depending on your work activities.",IMPROVE,MODERATELY,91.31,DAY,91.31,DAY,"If you do any form of manual labour, it could be up to 3 months before you can return to work, depending on your work activities."
NHS,Knee ligament surgery,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,FROM,2,WEEK,3,WEEK,"If you work in an office, you may be able to return to work after 2 to 3 weeks.",IMPROVE,MODERATELY,14,DAY,21,DAY,you may be able to return to work after 2 to 3 weeks.
NHS,Knee ligament surgery,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,UP TO,1,YEAR,1,YEAR,Recovering from anterior cruciate ligament (ACL) knee surgery can take up to a year.,IMPROVE,SLOWLY,365.25,DAY,365.25,DAY,Recovering from anterior cruciate ligament (ACL) knee surgery can take up to a year
NHS,Knee ligament surgery,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,TAKES AROUND,6,MONTH,1,YEAR,"Recovering from surgery usually takes around 6 months, but it could be up to a year before you're able to return to full training for your sport.",IMPROVE,SLOWLY,182.63,DAY,365.25,DAY,"Recovering from surgery usually takes around 6 months, but it could be up to a year before you're able to return to full training for your sport"
MAYO,Knee pain,,IMPROVE,FAST,FROM,1,DAY,TO,1,WEEK,FROM,1,DAY,2,DAY,A day or two of rest may be all you need for a minor injury.,IMPROVE,FAST,1,DAY,2,DAY,A day or two of rest may be all you need
NHS,Knee pain,,NONE,,,,,,,,,,,,,it does not improve within a few weeks,NONE,,,,,,it does not improve within a few weeks
MAYO,Knee pain,,NONE,,,,,,,,,,,,,"Septic arthritis often occurs with a fever, and there's usually no trauma before the onset of pain.",,,,,,,"Septic arthritis often occurs with a fever, and there's usually no trauma before the onset of pain."
NHS,Knee replacement,,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,UP TO,2,YEAR,2,YEAR,Full recovery can take up to 2 years as scar tissue heals and your muscles are restored by exercise,IMPROVE,SLOWLY,730.5,DAY,730.5,DAY,Full recovery can take up to 2 years as scar tissue heals and your muscles are restored by exercise
NHS,Knee replacement,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,WITHIN,1,YEAR,1,YEAR,It can take up to a year for any leg swelling to disappear,IMPROVE,SLOWLY,365.25,DAY,365.25,DAY,It can take up to a year for any leg swelling to disappear
NHS,Knee replacement,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,,6,WEEK,12,WEEK,"This depends on your job, but you can usually return to work 6 to 12 weeks after your operation.",IMPROVE,MODERATELY,42,DAY,84,DAY,"This depends on your job, but you can usually return to work 6 to 12 weeks after your operation."
NHS,Knee replacement,,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,UP TO,2,YEAR,2,YEAR,Your new knee will continue to recover for up to 2 years after your operation,IMPROVE,SLOWLY,730.5,DAY,730.5,DAY,Your new knee will continue to recover for up to 2 years after your operation
MAYO,Krabbe disease,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,,6,MONTH,2,YEAR,"In most cases, signs and symptoms of Krabbe disease develop in babies before 6 months of age, and the disease usually results in death by age 2",DECLINE,SLOWLY,182.63,DAY,730.5,DAY,"In most cases, signs and symptoms of Krabbe disease develop in babies before 6 months of age, and the disease usually results in death by age 2"
MAYO,Krabbe disease,,NONE,,,,,,,,,,,,,"As the disease progresses, signs and symptoms become more severe.",,,,,,,"As the disease progresses, signs and symptoms become more severe."
MAYO,Kyphosis,,NONE,,,,,,,,,,,,,Body image problems.,NONE,,,,,,Body image problems.
NHS,Kyphosis,,NONE,,,,,,,,,,,,,Most cases of kyphosis don't require treatment.,NONE,,,,,,don't require treatment.
NHS,Labyrinthitis and vestibular neuritis,,NONE,,,,,,,,,,,,,Exercises for long-term balance problems,NONE,,,,,,Exercises for long-term balance problems
MAYO,Lactose intolerance,,NONE,,,,,,,,,,,,,"Lactose intolerance is most common in people of African, Asian, Hispanic and American Indian descent",NONE,,,,,,"Lactose intolerance is most common in people of African, Asian, Hispanic and American Indian descent"
NHS,Lactose intolerance,,NONE,,,,,,,,,,,,,packets of mixes to make pancakes and biscuits,NONE,,,,,,packets of mixes to make pancakes and biscuits
NHS,Lambert-Eaton myasthenic syndrome,,PERMANENT,,,,,,,,,,,,,"There's currently no cure for LEMS, but a number of treatments can help reduce the symptoms.",PERMANENT,,,,,,"There's currently no cure for LEMS, but a number of treatments can help reduce the symptoms."
NHS,Laparoscopy (keyhole surgery),,NONE,,,,,,,,,,,,,The advantages of this technique over traditional open surgery include:,NONE,,,,,,The advantages of this technique over traditional open surgery include:
MAYO,Laryngitis,,IMPROVE,FAST,FROM,1,DAY,TO,1,WEEK,WITHIN,1,WEEK,1,WEEK,Acute laryngitis often gets better on its own within a week or so.,IMPROVE,FAST,7,DAY,7,DAY,Acute laryngitis often gets better on its own within a week or so
NHS,Laryngitis,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,1,WEEK,2,WEEK,It usually goes away by itself within 1 to 2 weeks,IMPROVE,FAST,7,DAY,14,DAY,It usually goes away by itself within 1 to 2 weeks
MAYO,Laryngitis,,NONE,,,,,,,,,,,,,"Bacterial infections, although these are less common",,,,,,,"Bacterial infections, although these are less common"
NHS,Laryngitis,,NONE,,,,,,,,,,,,,coughing over a long time,NONE,,,,,,coughing over a long time
MAYO,Lazy eye,,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,FROM,6,MONTH,2,YEAR,Treatment might last from six months to two years,IMPROVE,SLOWLY,182.63,DAY,730.5,DAY,Treatment might last from six months to two years
MAYO,Lazy eye (amblyopia),,NONE,,,,,,,,,,,,,Amblyopia generally develops from birth up to age 7 years,NONE,,,,,,Amblyopia generally develops from birth up to age 7 years
MAYO,Lazy eye (amblyopia),,NONE,,,,,,,,,,,,,Common causes of the condition include:,NONE,,,,,,Common causes of the condition include:
MAYO,Lead poisoning,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,OVER,,MONTH,,YEAR,"Lead poisoning occurs when lead builds up in the body, often over months or years.",,,,,,,
NHS,Leaky gut syndrome,,NONE,,,,,,,,,,,,,"If you have symptoms that are not explained by a diagnosis, it may help to read the topic on medically unexplained symptoms",NONE,,,,,,"If you have symptoms that are not explained by a diagnosis, it may help to read the topic on medically unexplained symptoms"
NHS,Leaky gut syndrome,,NONE,,,,,,,,,,,,,This will usually cause no obvious symptoms and will improve over time if you stop taking the medication or stop drinking alcohol,NONE,,,,,,This will usually cause no obvious symptoms and will improve over time if you stop taking the medication or stop drinking alcohol
MAYO,Legg-Calve-Perthes disease,,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,TAKE,SEVERAL,YEAR,SEVERAL,YEAR,"The complete process of bone death, fracture and renewal can take several years.",DECLINE,SLOWLY,1095.75,DAY,1095.75,DAY,"The complete process of bone death, fracture and renewal can take several years"
MAYO,Leiomyosarcoma,,NONE,,,,,,,,,,,,,These medicines work better than chemotherapy and aren't nearly as toxic,NONE,,,,,,These medicines work better than chemotherapy and aren't nearly as toxic
NHS,Leptospirosis (Weil's disease),,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,FEW,DAY,FEW,WEEK,You should make a full recovery in a few days or weeks,IMPROVE,FAST,3,DAY,14,DAY,You should make a full recovery in a few days or weeks
NHS,Leukoplakia,,NONE,,,,,,,,,,,,,There are things you can do to reduce your risk of getting leukoplakia,NONE,,,,,,There are things you can do to reduce your risk of getting leukoplakia
MAYO,Lewy body dementia,,NONE,,,,,,,,,,,,,"A diagnosis of Lewy body dementia requires a progressive decline in your ability to think, as well as two of the following:",NONE,,,,,,"A diagnosis of Lewy body dementia requires a progressive decline in your ability to think, as well as two of the following:"
MAYO,Lice,,NONE,,,,,,,,,,,,,Lice can live for one to two days off the body.,,,,,,,Lice can live for one to two days off the body.
MAYO,Lice,,NONE,,,,,,,,,,,,,Lice can't jump or fly.,,,,,,,Lice can't jump or fly.
MAYO,Lice,,NONE,,,,,,,,,,,,,They spread through:,NONE,,,,,,They spread through:
MAYO,Lichen nitidus,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,WITHIN,FEW,MONTH,1,YEAR,"For most people, lichen nitidus lasts for a few months to a year.",IMPROVE,SLOWLY,91.31,DAY,365.25,DAY,"For most people, lichen nitidus lasts for a few months to a year"
MAYO,Lichen nitidus,,NONE,,,,,,,,,,,,,Lichen nitidus rarely causes discomfort and usually clears up on its own without treatment.,,,,,,,Lichen nitidus rarely causes discomfort and usually clears up on its own without treatment.
NHS,Lichen planus,,IMPROVE,SLOWLY,FROM,6,MONTH,TO,1,YEAR,ABOUT,6,MONTH,9,MONTH,Lichen planus on your skin usually gets better on its own in about 6 to 9 months.,IMPROVE,SLOWLY,182.63,DAY,273.94,DAY,Lichen planus on your skin usually gets better on its own in about 6 to 9 months.
MAYO,Limited scleroderma,,PERMANENT,,,,,,,,,,,,,Limited scleroderma has no known cure,PERMANENT,,,,,,has no known cure
MAYO,Lip cancer,,NONE,,,,,,,,,,,,,"For many people in North America, the sun's rays are strongest between about 10 a",NONE,,,,,,"For many people in North America, the sun's rays are strongest between about 10 a"
MAYO,Lipoma,,NONE,,,,,,,,,,,,,"Lipomas are typically less than 2 inches (5 centimeters) in diameter, but they can grow",NONE,,,,,,"Lipomas are typically less than 2 inches (5 centimeters) in diameter, but they can grow"
MAYO,Liposarcoma,,NONE,,,,,,,,,,,,,Several types of liposarcoma exist,NONE,,,,,,Several types of liposarcoma exist
NHS,Listeriosis,,NONE,,,,,,,,,,,,,There are some simple things you can do to reduce your risk of getting listeriosis:,NONE,,,,,,There are some simple things you can do to reduce your risk of getting listeriosis:
MAYO,Liver cancer,,NONE,,,,,,,,,,,,,"For some people, having a strong faith or a sense of something greater than themselves makes it easier to come to terms with a life-threatening illness",NONE,,,,,,"For some people, having a strong faith or a sense of something greater than themselves makes it easier to come to terms with a life-threatening illness"
NHS,Liver cancer,,NONE,,,,,,,,,,,,,"How serious liver cancer is and what treatment you might have depends on where it is in the liver, how big it is, if it has spread, if it's primary or secondary and your general health.",NONE,,,,,,"How serious liver cancer is and what treatment you might have depends on where it is in the liver, how big it is, if it has spread, if it's primary or secondary and your general health."
NHS,Liver transplant,,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,CAN TAKE,1,YEAR,MORE,YEAR,It can take a year or more to fully recover.,IMPROVE,SLOWLY,365.25,DAY,730.5,DAY,It can take a year or more to fully recover.
NHS,Long QT syndrome,,NONE,,,,,,,,,,,,,But drug-induced long QT syndrome tends to only affect people who already have a tendency to develop the condition.,,,,,,,But drug-induced long QT syndrome tends to only affect people who already have a tendency to develop the condition.
NHS,Long-sightedness,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,AROUND,3,MONTH,6,MONTH,"hazy vision – it takes around 3 to 6 months to fully recover from LASIK, and many people notice blur or haze around bright lights in the early weeks",IMPROVE,MODERATELY,91.31,DAY,182.63,DAY,takes around 3 to 6 months to fully recover
NHS,Long-sightedness,,NONE,,,,,,,,,,,,,About 1 in 20 people needs further laser treatment to improve their vision,NONE,,,,,,About 1 in 20 people needs further laser treatment to improve their vision
NHS,Long-sightedness,,NONE,,,,,,,,,,,,,Getting an eye test,NONE,,,,,,Getting an eye test
NHS,Loss of libido (reduced sex drive),,NONE,,,,,,,,,,,,,Any long-term medical condition can affect your sex drive,,,,,,,Any long-term medical condition can affect your sex drive
MAYO,Low sex drive in women,,NONE,,,,,,,,,,,,,"Flibanserin (Addyi), a pill that you take once a day at bedtime",NONE,,,,,,"Flibanserin (Addyi), a pill that you take once a day at bedtime"
MAYO,Low sex drive in women,,NONE,,,,,,,,,,,,,Go for a long walk,NONE,,,,,,Go for a long walk
MAYO,Low sperm count,,NONE,,,,,,,,,,,,,"So, a current semen analysis reflects your environment over the past three months.",,,,,,,"So, a current semen analysis reflects your environment over the past three months."
NHS,Lumbar decompression surgery,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,4,WEEK,6,WEEK,"Most people return to work after 4 to 6 weeks, if their job isn't too strenuous",IMPROVE,MODERATELY,42,DAY,42,DAY,Most people return to work after 4 to 6 weeks
NHS,Lumbar decompression surgery,,NONE,,,,,,,,,,,,,a drain to take away any fluid from your wound,,,,,,,a drain to take away any fluid from your wound
NHS,Lumbar puncture,https://www.nhs.uk/conditions/lumbar-puncture/,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,FROM,30,MINUTES,45,MINUTES,"A lumbar puncture takes around 30 to 45 minutes, but you'll need to stay lying down at the hospital for at least another hour while the nurses monitor you.",IMPROVE,FAST,0.021,DAY,0.03125,DAY,takes around 30 to 45 minutes
NHS,Lumbar puncture,,NONE,,,,,,,,,,,,,On the day:,NONE,,,,,,On the day:
MAYO,Lung cancer,,NONE,,,,,,,,,,,,,Complementary and alternative lung cancer treatments can't cure your cancer.,,,,,,,Complementary and alternative lung cancer treatments can't cure your cancer.
MAYO,Lung cancer,,NONE,,,,,,,,,,,,,Immunotherapy treatments are generally reserved for people with locally advanced lung cancers and cancers that have spread to other parts of the body.,,,,,,,Immunotherapy treatments are generally reserved for people with locally advanced lung cancers and cancers that have spread to other parts of the body.
NHS,Lung transplant,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,AT LEAST,3,MONTH,3,MONTH,A lung transplant is a major operation that may take at least 3 months to recover from.,IMPROVE,MODERATELY,91.31,DAY,91.31,DAY,A lung transplant is a major operation that may take at least 3 months to recover from.
NHS,Lung Transplant,https://www.nhs.uk/conditions/lung-transplant/recovery/,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,TAKES,3,MONTH,6,MONTH,It usually takes at least 3 to 6 months to fully recover from transplant surgery.,IMPROVE,MODERATELY,91.31,DAY,182.63,DAY,at least 3 to 6 months to fully recover
NHS,Lung transplant,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,BETWEEN,3,WEEK,6,WEEK,It usually takes between 3 and 6 weeks to fully recover from a TURP,IMPROVE,MODERATELY,21,DAY,42,DAY,It usually takes between 3 and 6 weeks to fully recover
MAYO,Lupus,,NONE,,,,,,,,,,,,,Family and friends can't tell if you're having a good day or a bad day unless you tell them,NONE,,,,,,Family and friends can't tell if you're having a good day or a bad day unless you tell them
MAYO,Lupus nephritis,,NONE,,,,,,,,,,,,,"Although women are more likely to get lupus, men get lupus nephritis more than women",NONE,,,,,,"Although women are more likely to get lupus, men get lupus nephritis more than women"
MAYO,Lupus nephritis,,PERMANENT,,,,,,,,,,,,,There's no cure for lupus nephritis.,PERMANENT,,,,,,There's no cure for lupus nephritis
MAYO,Lyme disease,,NONE,,,,,,,,,,,,,"However, these signs and symptoms can occur within a month after you've been infected:",NONE,,,,,,"However, these signs and symptoms can occur within a month after you've been infected:"
NHS,Lyme disease,,NONE,,,,,,,,,,,,,Symptoms of Lyme disease,,,,,,,Symptoms of Lyme disease
MAYO,Lymphedema,,PERMANENT,,,,,,,,,,,,,There's no cure for lymphedema.,PERMANENT,,,,,,There's no cure for lymphedema
MAYO,Lymphoma,,NONE,,,,,,,,,,,,,Factors that can increase the risk of lymphoma include:,NONE,,,,,,Factors that can increase the risk of lymphoma include:
MAYO,Lynch syndrome,,NONE,,,,,,,,,,,,,"A genetic counselor is trained to help you navigate the areas of your life that may be affected by your diagnosis, such as:",NONE,,,,,,"A genetic counselor is trained to help you navigate the areas of your life that may be affected by your diagnosis, such as:"
MAYO,"Macular degeneration, dry",,DECLINE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,PROGRESSES SLOWY,,YEAR,,YEAR,"The dry type is more common, but it usually progresses slowly (over years).",DECLINE,SLOWLY,730.5,DAY,730.5,DAY,"The dry type is more common, but it usually progresses slowly (over years)"
MAYO,"Macular degeneration, dry",,NONE,,,,,,,,,,,,,"A variety of magnifying devices can help you with reading and other close-up work, such as sewing",NONE,,,,,,"A variety of magnifying devices can help you with reading and other close-up work, such as sewing"
MAYO,"Macular degeneration, dry",,NONE,,,,,,,,,,,,,"And the condition doesn't affect side (peripheral) vision, so it rarely causes total blindness.",,,,,,,"And the condition doesn't affect side (peripheral) vision, so it rarely causes total blindness."
MAYO,"Macular degeneration, wet",,NONE,,,,,,,,,,,,,10 mg of lutein,NONE,,,,,,10 mg of lutein
MAYO,"Macular degeneration, wet",,NONE,,,,,,,,,,,,,Age-related macular degeneration doesn't affect your side (peripheral) vision and usually doesn't cause total blindness,NONE,,,,,,Age-related macular degeneration doesn't affect your side (peripheral) vision and usually doesn't cause total blindness
MAYO,"Macular degeneration, wet",,NONE,,,,,,,,,,,,,The following measures may help reduce your risk of developing wet macular degeneration:,NONE,,,,,,The following measures may help reduce your risk of developing wet macular degeneration:
NHS,Macular hole,,NONE,,,,,,,,,,,,,your vision gets worse than it was on the day after the surgery,NONE,,,,,,your vision gets worse than it was on the day after the surgery
MAYO,Male hypogonadism,,NONE,,,,,,,,,,,,,Inflammatory disease.,,,,,,,Inflammatory disease.
NHS,Malignant brain tumour (brain cancer),,NONE,,,,,,,,,,,,,Recovery and after effects,,,,,,,Recovery and after effects
MAYO,Malignant peripheral nerve sheath tumors,,NONE,,,,,,,,,,,,,An inherited condition that increases risk of nerve tumors,NONE,,,,,,An inherited condition that increases risk of nerve tumors
NHS,Maple syrup urine disease,,NONE,,,,,,,,,,,,,Symptoms of maple syrup urine disease,,,,,,,Symptoms of maple syrup urine disease
NHS,Maple syrup urine disease,,NONE,,,,,,,,,,,,,Symptoms of MSUD usually appear within the first few days or weeks after birth,NONE,,,,,,Symptoms of MSUD usually appear within the first few days or weeks after birth
NHS,Marfan syndrome,,IMPROVE,SLOWLY,FROM,1,YEAR,TO,MORE,YEAR,CAN TAKE,1,YEAR,MORE,YEAR,These are major operations that can take a year or more to fully recover from.,IMPROVE,SLOWLY,365.25,DAY,730.5,DAY,These are major operations that can take a year or more to fully recover from
MAYO,Marfan syndrome,,NONE,,,,,,,,,,,,,Doctors often prescribe blood pressure lowering drugs to help prevent the aorta from enlarging and to reduce the risk of dissection and rupture.,NONE,,,,,,Doctors often prescribe blood pressure lowering drugs to help prevent the aorta from enlarging and to reduce the risk of dissection and rupture.
MAYO,Marfan syndrome,,NONE,,,,,,,,,,,,,This can eventually lead to heart failure,NONE,,,,,,This can eventually lead to heart failure
NHS,Marfan syndrome,,NONE,,,,,,,,,,,,,This can lead to a lower life expectancy,NONE,,,,,,This can lead to a lower life expectancy
NHS,Marfan syndrome,,PERMANENT,,,,,,,,,,,,,There's currently no cure for Marfan syndrome,PERMANENT,,,,,,There's currently no cure for Marfan syndrome
NHS,Mastectomy,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,FROM,4,WEEK,6,WEEK,It can take 4 to 6 weeks to recover from a mastectomy.,IMPROVE,MODERATELY,42,DAY,42,DAY,It can take 4 to 6 weeks to recover
MAYO,Mastitis,,NONE,,,,,,,,,,,,,They may include:,NONE,,,,,,They may include:
NHS,Mastocytosis,,NONE,,,,,,,,,,,,,"It can also create a build-up of mucus in the airways, which become narrower",,,,,,,"It can also create a build-up of mucus in the airways, which become narrower"
NHS,Mastoiditis,,NONE,,,,,,,,,,,,,an ear infection that does not get better with treatment or is followed by new symptoms,NONE,,,,,,an ear infection that does not get better with treatment or is followed by new symptoms
MAYO,MCAD deficiency,,NONE,,,,,,,,,,,,,"For example, during the first four months of life, well infants' fasting time may be no longer than four hours",NONE,,,,,,"For example, during the first four months of life, well infants' fasting time may be no longer than four hours"
MAYO,MCAD deficiency,,NONE,,,,,,,,,,,,,Take time for your own interests and activities,NONE,,,,,,Take time for your own interests and activities
NHS,Measles,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,ABOUT,7,DAY,10,DAY,"Measles can be unpleasant, but will usually pass in about 7 to 10 days without causing any further problems.",IMPROVE,FAST,7,DAY,10,DAY,usually pass in about 7 to 10 days
NHS,Measles,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,IN,7,DAY,10,DAY,The infection usually clears in around 7 to 10 days.,IMPROVE,FAST,7,DAY,10,DAY,The infection usually clears in around 7 to 10 days.
NHS,Measles,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,WITHIN,7,DAY,10,DAY,"There's no specific treatment for measles, but the condition usually improves within 7 to 10 days",IMPROVE,FAST,7,DAY,10,DAY,but the condition usually improves within 7 to 10 days
NHS,Measles,,NONE,,,,,,,,,,,,,How measles is spread,NONE,,,,,,How measles is spread
MAYO,Measles,,NONE,,,,,,,,,,,,,"Though aspirin is approved for use in children older than age 3, children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin",NONE,,,,,,"Though aspirin is approved for use in children older than age 3, children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin"
MAYO,Medication overuse headaches,,NONE,,,,,,,,,,,,,3 and No.,NONE,,,,,,3 and No.
MAYO,Medication overuse headaches,,NONE,,,,,,,,,,,,,Gets worse despite rest and pain medication,NONE,,,,,,Gets worse despite rest and pain medication
MAYO,Medication overuse headaches,,NONE,,,,,,,,,,,,,"When you stop your medication, expect your headaches to get worse before they get better",NONE,,,,,,"When you stop your medication, expect your headaches to get worse before they get better"
